calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
,6573,,,0,,,,falls
20335,6678,2020-10-17,,2,,,,falls
,6756,,,0,,,,falls
,7034,,,0,,,,falls
20338,8481,2020-10-23,,2,,,,falls
20329,8482,2020-10-10,,2,,,,falls
,8506,,,0,,,,falls
20313,8527,2020-10-01,,2,,,,falls
,8541,,,0,,,,falls
,8606,,,0,,,,falls
20327,8839,2020-10-08,,2,,,,falls
20294,9025,2020-09-26,,2,,,,falls
20252,9241,2020-09-01,,1,,,,falls
20306,9325,2020-09-30,,2,,,,falls
20250,10013,2020-08-27,1,1,,,,falls
20899,10015,2020-08-27,1,1,,,,falls
20277,10053,2020-09-12,,1,,,,falls
20260,10109,2020-09-04,,1,,,,falls
,10127,,,0,,,,falls
20273,10233,2020-09-08,,1,,,,falls
20897,10249,2020-10-17,1,2,,,,falls
,10293,,,0,,,,falls
20898,10345,2020-10-04,1,2,,,,falls
20268,10347,2020-09-07,,2,,,1,falls
20281,10371,2020-09-16,,2,,,,falls
20280,10401,2020-09-13,,1,,,,falls
20253,10451,2020-09-02,,1,,,,falls
20314,11031,2020-10-03,,2,,,,falls
20254,11047,2020-09-02,,1,,,,falls
20342,11135,2020-10-26,,2,,,,falls
,11421,,,0,,,,falls
20286,12097,2020-09-23,,2,,,,falls
20323,12109,2020-10-05,,2,,,,falls
20285,12121,2020-09-18,,2,,,,falls
20334,12167,2020-10-19,,2,,,,falls
20326,12185,2020-10-08,,2,,,,falls
20283,12195,2020-09-16,,1,,,,falls
20343,12245,2020-11-09,1,2,,,,falls
20332,12261,2020-10-19,,2,,,,falls
,12269,,,0,,,,falls
20317,12373,2020-10-04,,2,,,,falls
20272,12415,2020-09-09,,2,,,,falls
20320,13049,2020-10-04,,2,,,,falls
20328,13051,2020-10-08,,2,,,,falls
20340,13097,2020-10-27,,2,,,,falls
20336,13105,2020-10-18,,2,,,,falls
20265,13131,2020-09-07,,1,,,,falls
20322,13133,2020-10-05,,2,,,,falls
20331,13143,2020-10-13,1,2,,,,falls
20312,13169,2020-10-02,,2,,,,falls
20303,13201,2020-09-30,,2,,,,falls
20259,13213,2020-09-04,,1,,,,falls
20299,13373,2020-09-29,,2,,,,falls
20275,13391,2020-09-15,,1,,,,falls
,14007,,,0,,,,falls
20308,14037,2020-09-29,,2,,,,falls
20330,14079,2020-10-13,,2,,,,falls
20344,14083,2020-11-11,,2,,,,falls
20304,14095,2020-09-29,,2,,,,falls
,14125,,,0,,,,falls
20298,14217,2020-09-27,,2,,,,falls
20261,14229,2020-09-05,,1,,,,falls
,14255,,,0,,,,falls
20333,14267,2020-10-18,,2,1,,,falls
,14309,,,,,,,falls
20290,14331,2020-09-26,,2,,,,falls
20305,14347,2020-09-29,,2,,,,falls
20316,14353,2020-10-02,,2,,,,falls
20258,14359,2020-09-04,,1,,,,falls
20293,14363,2020-09-28,,2,,,,falls
20301,14373,2020-09-28,,2,,,,falls
20264,14377,2020-09-06,,1,,,,falls
20270,14399,2020-09-08,,1,,,,falls
20345,14459,2020-11-17,,2,,,,falls
20284,14465,2020-09-17,,2,,,,falls
20321,14479,2020-10-06,,2,1,,,falls
,15017,,,,,,,falls
20337,15065,2020-10-22,,2,,,,falls
,15067,,,0,,1,,falls
20256,15087,2020-09-02,,,,,,falls
20257,15087,2020-09-02,,1,,,,falls
20296,15115,2020-09-27,,2,,,,falls
20292,15129,2020-09-27,1,2,,,,falls
20262,15149,2020-09-05,,1,,,,falls
20315,15151,2020-10-03,,2,,,,falls
,15155,,,0,,,,falls
20289,15197,2020-09-26,,2,,,,falls
20295,15205,2020-09-27,,2,1,,,falls
,15209,,,,,,,falls
20263,15219,2020-09-06,1,1,,,,falls
,15231,,,0,,,,falls
,15281,,,0,,,,falls
,15323,,,0,,,,falls
20287,15331,2020-09-26,,2,,,,falls
20324,15407,2020-10-05,,2,,,,falls
20269,15409,2020-09-09,1,1,,,,falls
20266,15469,2020-09-07,,1,,,,falls
20288,15485,2020-09-26,,2,,,,falls
20325,15511,2020-10-06,1,2,,,,falls
20278,16027,2020-09-14,,2,,,,falls
,16031,,,0,,,,falls
20297,16045,2020-09-27,,2,,,,falls
20291,16047,2020-09-27,,2,,,,falls
,16111,,,0,,,,falls
,16117,,,0,,,,falls
,16141,,,0,,,,falls
20251,16145,2020-09-01,,1,,,,falls
20267,16197,2020-09-07,,1,,,,falls
20309,16205,2020-10-01,,2,,,,falls
20341,16233,2020-10-26,,2,,,,falls
20319,16249,2020-10-04,,2,1,,,falls
,16281,,,,,,,falls
,16287,,,0,,,,falls
20255,16307,2020-09-02,,1,,,,falls
20318,16329,2020-10-03,,2,,,,falls
20279,16345,2020-09-15,,2,,,,falls
20302,16367,2020-09-29,,2,,,,falls
20339,16421,2020-10-24,,2,,,,falls
,16429,,,0,,,,falls
20300,16463,2020-09-28,,2,,,,falls
20276,16475,2020-09-12,,1,,,,falls
20311,16477,2020-09-27,,2,,,,falls
20282,16495,2020-09-12,,1,,,,falls
,16575,,,0,,,,falls
20307,17010,2020-09-30,,2,,,,falls
20310,17022,2020-10-01,,2,,,,falls
20274,17050,2020-09-13,,1,,,,falls
20271,17160,2020-09-08,,1,,,,falls